﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
Bp_CookingPot_CardDescription,A cooking pot for preparing more advanced meals. Needs to be fired in a Kiln.,一个用来准备高级料理的烹饪锅。需要先在窑炉中进行烧制。
Bp_CookingPot_UnlockConditionsDesc,Oven Needed,需要烤箱
Bp_Coop_CardName,Coop,笼子
Bp_DeadfallTrap_CardName,Deadfall Trap,落石陷阱
Bp_DeadfallTrap_CardDescription,Useful for catching small prey. Needs bait to work.,适于捕捉小型猎物。需要诱饵。
Bp_DoughStarter_CardName,Dough Starter,酵种
Bp_DryingRack_CardName,Drying Rack,晾晒架
Bp_DryingRack_CardDescription,"A wooden frame for hanging food and herbs. Slows spoilage, doubles as decoration and dries goods in smoky rooms.",用于悬挂食物和草药的木制框架。可延缓食物腐败，兼具装饰作用，还能在烟雾弥漫的房间里干燥食物。
Bp_DryingRack_UnlockConditionsDesc,Planks Needed,需要木板
Bp_EarthEnchantment_CardName,Earth Enchantment,大地附魔
Bp_EarthEnchantment_CardDescription,"Enchants an object with the blessings of an earth spirit, making your body conserve calories better and making your fields and gardens healthier.",用大地精魄的赐福附魔一件物品，使你的身体能更好地维持体重，并让你的耕地和花园更加健康。
Bp_FairyBrew_CardName,Fairy Brew,仙酿
Bp_FairyBrew_CardDescription,"Lowers fever, pain, stress and wakefulness, while slightly altering your mind state.",减轻你的发热、疼痛、压力，降低清醒度，同时略微让你更容易陷入精神失常状态。
Bp_FireBrew_CardName,Fire Brew,火酿
Bp_FireBrew_CardDescription,"Increases body temperature, boosts immune system, stamina and alertness.",增加体温，增强免疫系统、耐力和警觉度。
Bp_FireEnchantment_CardName,Fire Enchantment,火附魔
Bp_FireEnchantment_CardDescription,"Enchants an object with the blessings of a fire spirit, increasing your temperature and immune system strength.",用火精魄的赐福附魔一件物品，增加你的体温并增强你的免疫系统。
Bp_FishBaitScraps_CardName,Fishing Bait,鱼饵
Bp_FishingLine_Rustic_CardName,Fishing Line,钓鱼线
Bp_FishingLine_Rustic_CardDescription,A simple tool for fishing.,一个简易的钓鱼工具。
Bp_FlintHoe_CardName,Flint Hoe,燧石锄
Bp_FlintHoe_CardDescription,Farming tool for tilling fields and improving soil structure.,开垦及改善土质用工具。
Bp_Flint_Arrows_CardName,Flint Arrows,燧石箭
Bp_Flint_Arrows_CardDescription,Sharp enough to pierce through the hides of larger animal.,锋利无比，足以穿透大型动物的毛皮。
Bp_Flint_Arrows_UnlockConditionsDesc,More Archery Needed,需要更高的箭术技能
Bp_Flint_Axe_CardName,Flint Axe,燧石斧
Bp_Flint_Axe_CardDescription,"Sharp enough to cut down trees, ideal for clearing overgrowth and producing wood.",锋利得足以砍倒大树，是清除灌木丛和生产木材的理想工具。
Bp_Flint_Spear_CardName,Flint Spear,燧石矛
Bp_Flint_Spear_CardDescription,A close combat weapon with good reach. Good for hunting large game and defending yourself from predators.\n\nSharp enough to pierce through thick animal hides.,一种长距近战武器，适合狩猎大型猎物和抵御掠食者。\n\n锋利到足以刺穿厚重的兽皮。
Bp_Flint_Spear_UnlockConditionsDesc,Flint Knife Needed,需要燧石刀
Bp_FluteWooden_CardName,Wooden Flute,木笛
Bp_FluteWooden_CardDescription,Instrument for playing music and entertainment.,演奏和娱乐的乐器。
Bp_FluteWooden_UnlockConditionsDesc,Sharp Knife Needed,需要锋利的刀
Bp_Fungicide_CardName,Fungicide,除菌剂
Bp_FurBlanket_CardName,Fur Blanket,毛皮毯
Bp_FurBlanket_CardDescription,Provides comfort and insulation while sleeping when placed on a bed.,放在床上可在睡眠时提供舒适和保温。
Bp_FurBoots_CardName,Fur Boots,毛皮靴子
Bp_FurBoots_UnlockConditionsDesc,Cured Skin Needed,需要鞣制兽皮
Bp_FurCoat_CardName,Fur Coat,毛皮大衣
Bp_FurHat_CardName,Fur Hat,毛皮帽
Bp_FurHat_CardDescription,"A bit hot, but should offer protection for my Head",穿起来有点热，不过能够保护我的头。
Bp_FurMittens_CardName,Fur Mittens,毛皮手套
Bp_FurMittens_CardDescription,Perfect for protecting my hands.,能为双手提供极佳的保护。
Bp_FurMittens_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_FurTrousers_CardName,Fur Trousers,毛皮长裤
Bp_FurTrousers_CardDescription,"A bit hot, but should offer protection to my legs.",穿起来有点热，不过能够保护我的腿。
Bp_GardenPlot_CardName,Garden Plot,菜园
Bp_GreenwardPouch_CardName,Green Ward Pouch,绿法杖袋
Bp_HandBasket_CardName,Hand Basket,手提篮
Bp_HandBasket_CardDescription,Provides storage space and  preserves food longer.,提供存储空间并让食物保存得更久。
Bp_HandDrill_CardName,Hand Drill,手钻
Bp_HandDrill_CardDescription,"A basic tool for fire-making. Can start fires by using it on tinder, like fiber, shavings or dry leaves.",一种基本的生火工具。可以通过将其与火绒（如纤维、木屑或枯叶）组合来生火。
Bp_Hearth_CardName,Hearth,火炉
Bp_Hearth_UnlockConditionsDesc,Kiln Needed,需要窑炉
Bp_Hideout_CardName,Hideout,藏匿点
Bp_ImprovisedBed_CardName,Improvised Bed,简易床
Bp_ImprovisedBed_CardDescription,"Increases wellbeing, focus and insulation while sleeping on it. Needs some daily maintenance.",睡在上面时可以提高幸福度、专注度以及保温，需要日常维护。
Bp_ImprovisedBed_UnlockConditionsDesc,Leaves Needed,需要树叶
Bp_ImprovisedShelter_CardName,Improvised Shelter,临时庇护所
Bp_ImprovisedShelter_CardDescription,"Offers some protection against the elements. Increases wellbeing, focus and insulation while sleeping on it.",提供一定的防护作用，睡在上面可以增强幸福度、专注度以及保温。
Bp_Insecticide_CardName,insecticide,杀虫剂
Bp_Kiln_CardName,Kiln,窑炉
Bp_Kiln_CardDescription,Used for firing pottery at high temperatures and extracting tar out of softwoods.,用于在高温下烧制陶器和在软木中提取焦油。
Bp_Kiln_UnlockConditionsDesc,Oven Needed,需要烤箱
Bp_KnifeSheath_CardName,Knife Sheath,刀鞘
Bp_KnifeSheath_CardDescription,A portable knife carrier.,一个便携刀鞘。
Bp_KnifeSheath_UnlockConditionsDesc,Animal Skin Needed,需要兽皮
Bp_Knife_Flint_CardName,Flint Knife,燧石刀
Bp_Knife_Flint_CardDescription,Sharp enough to work wood and leather.,锋利到足以加工木材和皮革。
Bp_LeatherBag_CardName,Leather Sack,皮革包
Bp_LeatherBag_CardDescription,Increases your carrying capacity.,增加你携带物品的能力。
Bp_LeatherBag_UnlockConditionsDesc,Animal Skin Needed,需要兽皮
Bp_LeatherBlanket_CardName,Leather Blanket,皮革毯
Bp_LeatherBlanket_CardDescription,Provides comfort and insulation while sleeping when placed on a bed.,放在床上可在睡眠时提供舒适和保温。
Bp_LeatherBoots_CardName,Leather Boots,皮革靴
Bp_LeatherBoots_CardDescription,Provide protection and insulation.,提供保护和保温。
Bp_LeatherBoots_UnlockConditionsDesc,Cured Skin Needed,需要鞣制兽皮
Bp_LeatherBracers_CardName,Leather Bracers,皮革护腕
Bp_LeatherBracers_CardDescription,Provides protection and insulation. ,提供保护和保温。
Bp_LeatherBracers_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_LeatherCloak_CardName,Leather Cloak,皮革斗篷
Bp_LeatherCloak_CardDescription,Provides protection and insulation.,提供保护和保温。
Bp_LeatherCoat_CardName,Leather Coat,皮革大衣
Bp_LeatherCoat_CardDescription,Provides protection and insulation.,提供保护和保温。
Bp_LeatherGloves_CardName,Leather Gloves,皮革手套
Bp_LeatherGloves_CardDescription,"Provides protection, insulation and immunity to nettle rashes.",提供保护、保温和对荨麻疹的免疫。
Bp_LeatherGloves_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_LeatherHaversack_CardName,Leather Haversack,皮革背包
Bp_LeatherHaversack_CardDescription,Increases your carrying capacity and can be equipped to free up hand slots.,增加你携带物品的能力，可装备以解放手部槽位。
Bp_LeatherHaversack_UnlockConditionsDesc,Satchel Needed,需要挎包
Bp_LeatherHelmet_CardName,Leather Helmet,皮革头盔
Bp_LeatherHelmet_CardDescription,Provides protection and insulation. ,提供保护和保温。
Bp_LeatherHelmet_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_LeatherSatchel_CardName,Leather Satchel,皮革挎包
Bp_LeatherSatchel_CardDescription,Increases your carrying capacity and can be equipped to free up hand slots.,增加你携带物品的能力，可装备以解放手部槽位。
Bp_LeatherSatchel_UnlockConditionsDesc,Cured Skin Needed,需要鞣制兽皮
Bp_LeatherShoes_CardName,Leather Shoes,皮革鞋
Bp_LeatherShoes_CardDescription,Provide protection and insulation.,提供保护和保温。
Bp_LeatherShoes_UnlockConditionsDesc,Animal Skin Needed,需要兽皮
Bp_LeatherTrousers_CardName,Leather Trousers,皮革裤
Bp_LeatherTrousers_CardDescription,Provide protection and insulation.,提供保护和保温。
Bp_LeatherTrousers_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_LeatherTunic_CardName,Leather Tunic,皮革长袍
Bp_LeatherTunic_CardDescription,Provides protection and insulation.,提供保护和保温。
Bp_LeatherVest_CardName,Leather Vest,皮革背心
Bp_LeatherVest_CardDescription,Provides protection and insulation.,提供保护和保温。
Bp_LogTrap_CardName,Log Trap,原木陷阱
Bp_LogTrap_CardDescription,A big game trap.,一个针对大型猎物的陷阱。
Bp_LogTrap_UnlockConditionsDesc,More Trapping Needed,需要更高的陷阱技能
Bp_Loom_CardName,Loom,织布机
Bp_Loom_CardDescription,Used for weaving cloth of different sizes.,用于纺织不同尺寸的布。
Bp_MeadowgrassField_CardName,Meadowgrass,牧草
Bp_MeadowgrassField_CardDescription,"Found in pine clearings; has very few needs and is ideal for letting fields rest because of its soil structure improving capabilities.\n\nCan be used as bedding material, roofing, animal feed or as a cover crop. Produces seeds in summer.",生长在松树林隙中；不怎么需要照料，能够改善土质，适宜用作土壤休耕。\n\n可用作垫料、屋顶材料、动物饲料或作为覆土作物。夏季结籽。
Bp_MudBrickMold_CardName,Brick Mold,砖模具
Bp_MudBrickMold_CardDescription,A useful device for mass producing bricks.,用于大规模生产砖块的有用装置。
Bp_MudBricks_CardName,Mud Bricks,泥砖
Bp_MudHut_CardName,Mud Hut,泥屋
Bp_MushroomBed_CardName,Mushroom Bed,菌床
Bp_MushroomBed_CardDescription,A plot for growing mushrooms.,一片用来种植蘑菇的菌床。
Bp_MushroomBed_UnlockConditionsDesc,More Herbolalism Needed,需要更高的药草学技能
Bp_NestingBox_CardName,Nesting Box,巢盒
Bp_OakenStaff_CardName,Oaken Staff,橡木杖
Bp_Oven_CardName,Oven,烤箱
Bp_Oven_CardDescription,"Used for drying, baking, or firing pottery at controlled temperatures.",控制温度可以干燥、烘烤或烧制陶器。
Bp_Oven_UnlockConditionsDesc,Clay Bowl Needed,需要陶碗
Bp_PartridgeFeeder_CardName,Partridge Feeder,灰山鹑喂食器
Bp_PartridgeFeeder_CardDescription,A device to feed partridges with minimal work.,最省事的灰山鹑喂养装置。
Bp_PartridgeFeeder_UnlockConditionsDesc,Partridge Needed,需要灰山鹑
Bp_PeaField_CardName,Peas,豌豆
Bp_PeaField_CardDescription,"Bought from traders; needs medium acidity, low hydration,  medium nutrients and medium to high structure. Increases nutrient and soil structure.\n\nA nutritious food that is long lasting when dry.",从商人处购得；需要中酸度、低湿度、养分和中高土质。能增加土壤养分并改善土质。\n\n一种干燥后可长期保存的营养食品。
Bp_Planks_CardName,Wooden Planks,木板
Bp_Planks_CardDescription,Useful for more advanced construction.,用于制作更高级的建筑。
Bp_Plaster_CardName,Plaster,灰泥
Bp_Poridge_CardName,Porridge,粥
Bp_Quiver_CardName,Quiver,箭筒
Bp_Quiver_CardDescription,Can store my arrows.,可以储存我的箭矢。
Bp_Quiver_UnlockConditionsDesc,Arrows Needed,需要箭
Bp_ReedCoat_CardName,Reed Coat,芦苇大衣
Bp_ReedCoat_CardDescription,A rainproof cape to protect me from the weather.,一件防雨的蓑衣，可以帮助我抵御天气的影响。
Bp_ReedSkirt_CardName,Reed Skirt,芦苇裙
Bp_ReedSkirt_CardDescription,Simple clothing to cover your privates.,遮羞的简单衣物。
Bp_ReedSkirt_UnlockConditionsDesc,Reeds Needed,需要芦苇
Bp_RiverPoultice_CardName,Healing Ointment,疗伤膏
Bp_RiverPoultice_CardDescription,Can be applied to wounds to increase their healing properties.,可以抹在伤口上，加快愈合。
Bp_Rope_CardName,Rope,绳子
Bp_RusticSpear_CardName,Rustic Spear,简易长矛
Bp_RusticSpear_CardDescription,A close combat weapon with good reach. Good for hunting large game and defending yourself from predators.,一种近战武器，具有较长的攻击距离。适合狩猎大型猎物和防御掠食者。
Bp_RusticStool_CardName,Rustic Stool,简易凳子
Bp_RusticStool_CardDescription,Increases comfort.,增加舒适度。
Bp_RusticStool_UnlockConditionsDesc,More Woodworking Needed,需要更高的木工技能
Bp_RusticTable_CardName,Rustic Table,简易桌子
Bp_RusticTable_CardDescription,Increases comfort.,增加舒适度。
Bp_RusticTable_UnlockConditionsDesc,Planks Needed,需要木板
Bp_RyeField_CardName,Rye,黑麦
Bp_RyeField_CardDescription,"Bought from traders; needs medium to high acidity, medium to low hydration and low to medium nutrients. Increases soil structure.\n\nEdible grain, long lasting and useful for making bread and beer.",从商人处购得；需要中高酸度、中低湿度和中低养分。能改善土质。\n\n持久耐储的可食用谷物，可制作面包和啤酒。
Bp_Sack_CardName,Sack,布袋
Bp_Sack_CardDescription,"A cloth sack, good for carrying stuff around.",一个布制的袋子，很适合装东西。
Bp_Sack_UnlockConditionsDesc,More Tailoring Needed,需要更高的纺织技能
Bp_SharpenedStone_CardName,Sharpened Stone,石刀
Bp_SharpenedStone_CardDescription,"A useful tool, could use it to craft spears out of long sticks or axes out of wood.",实用的工具，可以用它把长木棍削成长矛，或者和木材组合成斧子。
Bp_Shelf_CardName,Shelf,储物架
Bp_Shelf_CardDescription,Useful for storing items or displaying decorations.,用于储存物品或展示装饰品。
Bp_ShirtCloth_CardName,Cloth Shirt,布衬衫
Bp_ShirtCloth_CardDescription,Should protect me a bit from bug bites and the sun.,能减轻一些虫咬和日晒对我的伤害。
Bp_ShirtCloth_UnlockConditionsDesc,Cloth Needed,需要布
Bp_SimpleArrows_CardName,Simple Arrows,简易箭
Bp_SimpleArrows_CardDescription,Effective enough to hunt small animals.,足以猎杀小型动物。
Bp_SimpleArrows_UnlockConditionsDesc,More Woodworking Needed,需要更高木工技能
Bp_SimpleBow_CardName,Simple Bow,简易弓
Bp_SimpleBow_CardDescription,"A ranged weapon, ideal for hunting.",一件远程武器，适合用于狩猎。
Bp_SimpleBow_UnlockConditionsDesc,More Woodworking Needed,需要更高木工技能
Bp_SnowMan_CardName,Snowman,雪人
Bp_SoothingPaste_CardName,Soothing Ointment,止痛膏
Bp_SoothingPaste_CardDescription,"Alleviates inflamation, rashes and burns. Numbs pain and is ideal for treating foot and hand damage.",缓解炎症、皮疹和烧伤。能够麻痹疼痛，非常适用于治疗手脚损伤。
Bp_SpearSheath_CardName,Spear Carrier,矛鞘
Bp_SpearSheath_CardDescription,A portable spear carrier.,一个便携矛鞘。
Bp_Spindle_CardName,Spindle,纺锤
Bp_Spindle_CardDescription,Used for spinning fibers into twine or yarn more effectively.,用于更高效地将纤维缠成细线或线团。
Bp_Spiritbrew_CardName,Spiritbrew,灵酿
Bp_SpiritShrine_Fire_RitualPyre_CardName,Ritual Pyre,仪式柴堆
Bp_SpiritShrine_Fire_RitualPyre_UnlockConditionsDesc,More Fire Affinity Needed,需要更高的火亲和度
Bp_Splint_CardName,Splint,夹板
Bp_Splint_CardDescription,Can help heal fractures and sprains faster. ,可帮助更快地治愈骨折和扭伤。
Bp_Splint_UnlockConditionsDesc,Twine Needed,需要细线
Bp_StoneAxe_CardName,Stone Axe,石斧
Bp_StoneAxe_CardDescription,"Suitable for cutting down small trees, clearing overgrowth and producing wood. Not sharp enough to fell trees or work wood.",适合于砍倒小树、清除灌木丛和生产木材。锋利程度不足以砍倒大树和加工木材。
Bp_StoneAxe_UnlockConditionsDesc,Sharpened Stone Needed,需要石刀
Bp_StoneMortarAndPestle_CardName,Saddle Quern,大石臼
Bp_StretchingFrame_CardName,Stretching Frame,伸张架
Bp_Table_CardName,Table,木桌
Bp_Table_CardDescription,Increases comfort and helps you with crafting.,增加舒适度，有助于手工制作。
Bp_Table_UnlockConditionsDesc,More Woodworking Needed,需要更高的木工技能
Bp_TanningPit_CardName,Tanning Pit,鞣制坑
Bp_TanningPit_CardDescription,A large covered pit used for converting hides into leather. Must be filled with tanning liquor to work.,一个铺有盖子的大坑，用于将兽皮转化为皮革。必须注入鞣剂才能起作用。
Bp_TanningPit_UnlockConditionsDesc,More Leatherworking Needed,需要更高的制革技能
Bp_TanningWater_CardName,Tanning Water,鞣液
Bp_TanningWater_CardDescription,"Can be boiled into tanning liquor, which is used in the leathermaking process.",可以煮沸成鞣剂，供皮革制作过程中使用。
Bp_TilledField_CardName,Tilled Field,耕地
Bp_TilledField_CardDescription,"A more effective way to grow crops en masse, as they require less attention than gardens and yield more.\n\n<b>Warning: </b>Wetlands and Pine groves are acidic and bad for many crops, while river areas tend to have low acidity.",更有效地大规模种植农作物的方法，因为它们比花园需要的照料更少，而且产量更高。\n\n<b>警告：</b>湿地和松树林呈酸性，对许多农作物有害，而河流地区的酸度往往较低。
Bp_Torch_CardName,Torch,火炬
Bp_Torch_CardDescription,A portable light source.,一个便携光源。
Bp_Torch_UnlockConditionsDesc,Twine Needed,需要细线
Bp_TourniquetRustic_CardName,Improvised Tourniquet,简易止血带
Bp_TourniquetRustic_CardDescription,"Stops blood loss, but do not wear it for too long!",能够止血，但是不宜久戴！
